Player,Salary
Kira Lewis Jr.,3640200
Romeo Langford,3631200
Facundo Campazzo,3623000
Wesley Matthews,3623000
Maurice Harkless,3623000
Bobby Portis,3623000
Kyle Kuzma,3562178
Michael Porter Jr.,3550800
Jevon Carter,3549383
Tony Bradley,3542060
Derrick White,3516284
Boban Marjanović,3500000
T.J. McConnell,3500000
Mirza Teletović,3500000
Josh Hart,3491159
Aaron Nesmith,3458400
Sekou Doumbouya,3449400
Troy Brown Jr.,3372840
James Ennis,3300000
Cole Anthony,3285120
Taj Gibson,3283684
Taj Gibson,3283684
Zhaire Smith,3204600
Trey Burke,3174603
Austin Rivers,3174603
Jon Leuer,3169348
Isaiah Stewart,3121080
Chuma Okeke,3121080
Nickeil Alexander-Walker,3113160
Donte DiVincenzo,3044160
Wayne Ellington,3005225
Wayne Ellington,3005225
Ryan Arcidiacono,3000000
Khem Birch,3000000
Michael Carter-Williams,3000000
Aleksej Pokusevski,2964840
Goga Bitadze,2957520
Lonnie Walker,2892000
Dewayne Dedmon,2866667
Andrew Nicholson,2844429
Luka Šamanić,2824320
Josh Green,2816760
Kevin Huerter,2761920
Alex Caruso,2750000
Marko Guduric,2750000
Matisse Thybulle,2711280
Saddiq Bey,2689920
Josh Okogie,2651040
Vincent Poirier,2619207
Brandon Clarke,2602920
Precious Achiuwa,2582160
Jeff Teague,2564753
Jeff Green,2564753
J.J. Barea,2564753
Jared Dudley,2564753
Marc Gasol,2564753
Udonis Haslem,2564753
Dwight Howard,2564753
Carmelo Anthony,2564753
Grayson Allen,2545320
Grant Williams,2498760
Tyrese Maxey,2478840
Chandler Hutchison,2443440
Darius Bazley,2399160
Zeke Nnaji,2379840
Aaron Holiday,2345640
Bryn Forbes,2337145
Bismack Biyombo,2331593
DeMarcus Cousins,2331593
Reggie Jackson,2331593
Markieff Morris,2331593
E'Twaun Moore,2331593
Kent Bazemore,2320044
Hassan Whiteside,2320044
Alex Len,2320000
Luke Kornet,2304878
Ty Jerome,2303040
Ben McLemore,2283034
Mike Muscala,2283034
Anfernee Simons,2252040
Brad Wanamaker,2250000
Monta Ellis,2245400
Nassir Little,2210640
R.J. Hampton,2193480
Solomon Hill,2174318
Matthew Dellavedova,2174318
Moritz Wagner,2161920
Edmond Sumner,2160000
Dylan Windler,2137440
Immanuel Quickley,2105520
John Konchar,2093023
Landry Shamet,2090040
Mfiondu Kabengele,2075880
Jordan Poole,2063280
Bol Bol,2058240
Keldon Johnson,2048040
Payton Pritchard,2035800
Kevin Porter Jr.,2033160
Robert Williams,2029920
Tyler Johnson,2028594
Langston Galloway,2028594
Glenn Robinson III,2028594
Jacob Evans,2017320
Damyean Dotson,2000000
Kenrich Williams,2000000
Théo Maledon,2000000
Cameron Payne,1977011
Udoka Azubuike,1977000
Jaden McDaniels,1964760
Malachi Flynn,1950600
Gary Clark,1944677
Desmond Bane,1936440
Anderson Varejão,1913345
Jontay Porter,1904762
Jahlil Okafor,1882867
Jerian Grant,1882867
JaKarr Sampson,1882867
Frank Kaminsky,1882867
Raul Neto,1882867
Larry Sanders,1865547
David Nwaba,1862250
Timothé Luwawu-Cabarrot,1824003
Marquese Chriss,1824003
Georges Niang,1783557
Rodions Kurucs,1780152
Damion Lee,1762796
Alfonzo McKinnie,1762796
Furkan Korkmaz,1762796
Semi Ojeleye,1752950
Abdel Nader,1752950
Damian Jones,1737145
DeAndre' Bembry,1737145
Willy Hernangómez,1727145
Brandon Goodwin,1701593
Thanasis Antetokounmpo,1701593
Shake Milton,1701593
Wesley Iwundu,1678854
Sterling Brown,1678854
Torrey Craig,1678854
Sindarius Thornwell,1678854
Dwayne Bacon,1678854
Harry Giles,1678854
Shaquille Harrison,1678854
Bruce Brown,1663861
Devonte' Graham,1663861
Jalen Brunson,1663861
Monte Morris,1663861
Sviatoslav Mykhailiuk,1663861
Duncan Robinson,1663861
Kendrick Nunn,1663861
Jarred Vanderbilt,1663861
Mitchell Robinson,1663861
Hamidou Diallo,1663861
Gary Trent Jr.,1663861
Isaac Bonga,1663861
Wenyen Gabriel,1620564
Josh Gray,1620564
Drew Eubanks,1620564
Terance Mann,1517984
Bruno Fernando,1517981
Javonte Green,1517981
Carsen Edwards,1517981
Nicolas Claxton,1517981
Daniel Gafford,1517981
Caleb Martin,1517981
